question,answer
Which Tunisie Telecom customers can use the DUO service?,"A QUI EST DESTINÉ LE SERVICE DUO ? Le service DUO est à la disposition de toute la clientèle mobile de TUNISIE TELECOM: prépayée, post payée, ELISSA, CSS mobile, Taraji mobile, Hybride, et forfait Mobi."
How can a customer subscribe to the DUO service?,"DUO, COMMENT ÇA MARCHE ? Pour la souscription au service DUO, il suffit de composer *180#"
Can calls be made to all operators and internationally using the DUO number?,Le Numéro DUO vous permet d’effectuer des communications vers tous les opérateurs et vers l’international.
How does a customer make a call from their DUO number?,"Pour effectuer un appel depuis votre Numéro DUO, il suffit de Composer : # suivi du numéro du correspondant. Exemple: #9XXXXXXX / #4XXXXXXX"
Which number is displayed to the correspondent when a call is made from the DUO number?,"A ce moment là, c’est le Numéro DUO qui s’affiche chez votre correspondant."
How can a customer manage their DUO service options?,"Vous avez aussi la possibilité de gérer votre service DUO, en composant le code *180# vous y trouverez les options suivantes: Consultation numéro, état et validité Suspension/rétablissement Blacklist Désinscription"
What are the available DUO options and their costs/validity periods?,"DUO, COMBIEN ÇA COÛTE ? Deux options DUO sont disponibles : DUO 30 jours: 2 DT DUO 7 jours: 0.5 DT"
How are calls made from the DUO number tariffed?,Les appels émis depuis le Numéro DUO sont taxés selon le plan tarifaire du numéro principal adopté par le client.
"Is there a cost to deactivate the DUO service, and how is it done?",La désactivation du service DUO est gratuite Via le code *180#
What help is provided for the DUO service?,Besoin d'aide ?
What does Tunisie Telecom's call transfer service allow users to do?,Mobile Options & Services Restez tout le temps joignable avec le service transfert d'appel de Tunisie Telecom. Le transfert d'appel vous permet de diriger les appels reçus sur votre téléphone fixe vers le téléphone de votre choix (fixe ou mobile).
"What happens to the phone's tone after activating call transfer, and can outgoing calls still be made?","Après activation de ce service, la tonalité de votre poste changera pour vous indiquer que vos appels seront transférés sur une autre ligne, mais vous pouvez toujours appeler à partir de votre poste."
What are the main advantages of using the call transfer service?,AVANTAGES: Avec le service transfert d’appel: Vous êtes toujours joignable. Vous ne perdrez aucun appel puisque vos appels vous suivent là où vous le souhaitez.
How can customers subscribe to the call transfer service?,"COMMENT BÉNÉFICIER DE CE SERVICE? Pour bénéficier du transfert d'appel, merci de consulter votre agence commerciale. Vous pouvez également vous abonner en ligne via votre espace client."
How does a customer activate call transfer?,"MODE D'UTILISATION: Pour activer le transfert d'appel. Décrochez et composez: * 21 * Numéro choisi pour le transfert puis # Si vous n’obtenez pas une tonalité continue, raccrochez et répétez l’opération."
How can a customer verify the programmed call transfer number?,"Pour vérifier le numéro programmé pour le transfert: Décrochez et composez : *#21* Numéro choisi initialement puis # Si vous n’obtenez pas une tonalité continue, raccrochez et répétez l’opération."
How does a customer deactivate call transfer?,"Pour désactiver le transfert d'appel: Décrochez et composez: #21# Si vous n’obtenez pas une tonalité continue, raccrochez et répétez l’opération."
What are the monthly subscription and per-activation fees for the call transfer service?,TARIFS: Frais d'abonnement: 500 millimes par mois. Frais d'activation: 140 millimes par activation .
Where can one get more information about the call transfer service?,POUR PLUS DE RENSEIGNEMENT: Merci de consulter votre Espace TT ou d'appeler le 1298.
Is assistance provided for the call transfer service?,Besoin d'aide ?
What is the MobiRacid service for Tunisie Telecom Fixed or Mobile network subscribers?,"Mobile Options & Services Vous êtes abonné au réseau Fixe ou Mobile de TUNISIE TELECOM, et vous avez besoin de communiquer à partir de votre ligne alors que vous n’avez plus de crédit, ou vous souhaitez dépanner un ami ou un proche? C’est possible! Aujourd’hui, avec MobiRacid, transférez du crédit à tout moment et Gratuitement en toute simplicité depuis votre ligne Fixe ou Mobile."
How can a prepaid mobile user transfer credit to a Fixed or Mobile prepaid line (TT or ELISSA) using MobiRacid?,"TRANSFERT DU SOLDE DU MOBILE PRÉPAYÉ VERS FIXE OU MOBILE PRÉPAYÉ (TT OU ELISSA) : Pour transférer un crédit du mobile prépayé vers le Fixe ou Mobile prépayé, il vous suffit de composer :​ *133* montant à transférer * numéro du bénéficiaire Fixe ou Mobile TUNISIE TELECOM ou ELISSA #"
What are the two ways to transfer credit from a Fixed line to a Fixed or Mobile line (TT and ELISSA) using MobiRacid?,TRANSFERT DU SOLDE DU FIXE VERS LE FIXE OU MOBILE (TT ET ELISSA) : Deux moyens sont possibles pour effectuer le transfert d’un crédit Fixe vers le Fixe ou Mobile (TT et ELISSA) :
How can a user transfer credit from their Fixed phone using MobiRacid?,"Transfert de solde Fixe depuis votre téléphone Fixe : Pour transférer un crédit, décrocher et composer 102* suivi de 7 # puis suivez les instructions."
How can a user subscribe to transfer credit from a Fixed line using their GSM for MobiRacid?,"Transfert de solde Fixe à partir de votre GSM : Pour souscrire à ce service, il suffit d’enregistrer votre mot de passe en tapant : *133* 1 * N° Fixe * 4 derniers chiffres de votre code client * votre mot de passe en quatre chiffres #"
"Once subscribed, how does a user transfer credit from a Fixed line to a mobile (TT or ELISSA) using their GSM with MobiRacid?","COMMENT TRANSFÉRER UN CRÉDIT ? Pour transférer un crédit vers le mobile (TT ou ELISSA), il suffit de taper : *133* montant à transférer * numéro de la ligne Fixe * numéro du bénéficiaire Fixe ou Mobile TUNISIE TELECOM ou ELISSA * un mot de passe #"
Who is eligible to use the MobiRacid service?,"QUI PEUT PROFITER DE CE SERVICE ? Tous les clients du mobile prépayé de TT ainsi que les clients prépayés du Fixe Résidentiel (prépayé, Fixi prépayé, IllimiFix, Millénium prépayé)."
Is there a cost for using the MobiRacid transfer operation?,COMBIEN ÇA COÛTE ? L’opération de transfert est gratuite.
What help is available for the MobiRacid service?,Besoin d'aide ?
What was the outcome of the request to fetch content from the Tunisie Telecom voicemail service page?,Error: Could not connect or other request error.
When do GSM postpaid or prepaid customers receive an SMS for missed calls?,"Mobile Options & Services Clients GSM post payé ou prépayé, votre téléphone est éteint ou vous êtes hors zone de couverture - même en Roaming - aucun appel n'est perdu, dès que vous serez reconnecté au réseau vous recevrez un SMS appels manqués."
How can customers activate the 'SMS appels manqués' (missed call SMS) service for free?,ACTIVATION DU SERVICE: Pour activer gratuitement le service «SMS appels manqués» il vous suffit de composer le *62*1162# ou effectuer un renvoi d'appel option si injoignable vers le +216 71 00 11 62.
How can the 'SMS appels manqués' service be deactivated?,La désactivation du service se fait en composant le #62#.
What kind of assistance is provided for the missed call SMS service?,Besoin d'aide ?
What is the 'Kallemni' service for prepaid customers with low credit?,"Mobile Options & Services Clients prépayés, votre crédit est épuisé ou presque, vous pouvez envoyer un SMS pour demander à un autre client GSM Tunisie Telecom - prépayé ou post payé - d’être rappelé."
How does a customer use the 'Kallemni' service?,Il suffit de composer le: *124* numéro du correspondant#
What confirmation message does the sender of a 'Kallemni' request receive?,"Un message de confirmation vous est instantanément envoyé au client: Service « Kallemni », votre demande a été transmise à votre correspondant 9Y YYY YYY, vous avez utilisé X SMS sur 10."
What message does the recipient of a 'Kallemni' request receive?,Votre correspondant reçoit instantanément un SMS en provenance de votre numéro: Service « Kallemni » Votre correspondant souhaite que vous le rappeliez.
How can a customer check the number of remaining 'Kallemni' SMS?,Pour consulter le nombre d’SMS « Kallemni » restants il suffit de composer: *124*1#
How many 'Kallemni' SMS are allocated when credit is exhausted and are they cumulative?,"A chaque épuisement du crédit, 10 SMS « Kallemni » sont alloués jusqu’à la prochaine recharge ou le prochain transfert de crédit. Le nombre maximum de SMS« Kallemni » / jour = 10 SMS Les dix SMS « Kallemni » ne sont pas cumulables."
Is there a cost for using the 'Kallemni' service?,Le service « Kallemni » est gratuit.
Is assistance offered for the 'Kallemni' service?,Besoin d'aide ?
What is the purpose of the 'Tabba3ni' service offered by Tunisie Telecom?,Mobile Options & Services Tunisie Telecom offre à ses clients le service « Tabba3ni » qui va leur faciliter la diffusion de leurs nouveaux numéros afin de rester toujours joignables avec leurs amis et proches.
What are the steps to activate the 'Tabba3ni' service from a new TT or ELISSA number?,"Pour activer le service, il suffit de suivre les étapes suivantes : Composez *149# à partir de votre nouveau numéro TT ou ELISSA Introduisez votre ancien numéro en composant *149*2* ancien numéro# Activez un renvoi si injoignable depuis votre ancienne ligne en composant *62*71009898#"
What conditions must the old line meet for the 'Tabba3ni' service to work?,L’ancienne ligne doit être active et doit contenir le coût d’un appel vers le fixe.
How can a customer deactivate the 'Tabba3ni' service?,Pour désactiver le service « Tabba3ni » il suffit de supprimer les numéros introduits en composant *149*3# ou bien d’annuler le renvoi effectué depuis votre ancienne ligne.
How many old numbers can a customer register with the 'Tabba3ni' service?,Le client pourra activer jusqu’à 5 numéros (1 ON NET et 4 OFF NET).
How long is the 'Tabba3ni' service valid from the activation date?,Le service restera valable 3 mois à partir de la date d’activation du service.
How can a customer check the old numbers registered with the 'Tabba3ni' service?,Le client pourra consulter les anciens numéros introduits en composant *149*1#.
Is there a cost to activate the 'Tabba3ni' service?,L'activation du service Tabba3ni est Gratuite.
What help is available for the 'Tabba3ni' service?,Besoin d'aide ?
What is the TFADHAL service?,Mobile Options & Services QU’EST CE QUE TFADHAL ? TFADHAL permet de joindre un appelé à sa charge avec son accord préalable (appel en PCV : paiement contre vérification).
Which Tunisie Telecom mobile customers can use the TFADHAL service?,A QUI EST DESTINÉ LE SERVICE ? TFADHAL est destiné à toute la clientèle mobile de TUNISIE TELECOM prépayée et post payée (Résidentiels et corporate).
How is TFADHAL activated for prepaid and postpaid mobile customers?,"COMMENT ACTIVER TFADHAL ? Pour les clients mobiles prépayés : Le service est pré activé automatiquement et gratuitement. Pour les clients mobiles post payés : pour activer le service, il suffit de se rendre à l’espace TT le plus proche."
"How does one initiate a TFADHAL call, and what happens when the call is accepted?","COMMENT INITIER UN APPEL TFADHAL ? Pour initier un appel TFADHAL il suffit de composer *0* le numéro à appeler, l’appelé sera averti par message vocal et aura le choix d’accepter ou de refuser l’appel, s’il l’accepte le coût de la communication sera déduit de son solde."
How is the cost of a TFADHAL call handled for prepaid and postpaid recipients?,Clients prépayés : le coût de la communication sera déduit du solde principal de l’appelé. Clients post payés : le coût de la communication sera imputé sur la facture mensuelle de l’appelé.
How can TFADHAL calls be automatically accepted by the recipient?,"Pour que la prise en charge de l’appel soit automatique (sans passer par le message vocal), il suffit d’ajouter le numéro de l’appelant à la liste TFADHAL et ce dernier n’aura qu’à composer *0* le numéro à appeler pour qu’il soit pris en charge automatiquement."
What is the TFADHAL list and how many numbers can it contain?,"QU’EST CE QUE LA LISTE TFADHAL ? La liste TFADHAL regroupe les numéros à prendre en charge automatiquement lors des appels TFADHAL, cette liste peut contenir jusqu’à 5 numéros."
"How can a user create and manage their TFADHAL list (view, add, delete numbers)?","COMMENT CRÉER ET GÉRER LA LISTE TFADHAL ? Pour créer et gérer la liste TFADHAL, il suffit de composer le code *112# et de suivre les instructions ou de composer les commandes courtes ci-dessous : 112*2*1# : Consultation de la liste des numéros ajoutés. *112*2*2# : Ajout d’un numéro à la liste TFADHAL. *112*2*3# : Suppression d’un numéro de la liste TFADHAL."
"How is the cost of a TFADHAL call determined, and are there fees for managing the service?",COMBIEN ÇA COÛTE ? Le coût de l’appel TFADHAL est calculé selon le plan tarifaire de l’appelé La création et la gestion du service TFADHAL sont totalement gratuites.
What assistance is offered for the TFADHAL service?,Besoin d'aide ?
What is the Double Appel (Call Waiting) service?,"Mobile Options & Services Vous êtes prévenu par un "" BIP "" en cas d’un autre appel ? Vous pouvez y répondre puis passer d’un correspondant à l’autre. Ainsi, vous ne perdrez aucun appel !"
"How can Double Appel (Call Waiting) be activated or deactivated, and is it free?","Pour l'activer ou le désactiver gratuitement, vous pouvez appliquer les codes d'activation et de désactivation suivants : Activation : * 43 # Désactivation : # 43 #"
What happens when a call comes in while the user is already on a call with Double Appel active?,"Le service appel en attente étant activé, si un correspondant essaie de vous joindre en cours de communication, vous allez entendre un Bip dans l’écouteur de votre téléphone."
What are the three options a user has when receiving a second call with Double Appel active?,Vous avez trois possibilités : Mettre en attente le premier appel (appel en cours) et prendre le nouvel appel. Raccrocher l’appel en cours et prendre le deuxième appel. Ignorer l’appel et continuer la conversation
Is there support available for the Double Appel service?,Besoin d'aide ?
What is MMS (Multimedia Messaging Service)?,"MMS : C’EST QUOI ? MMS (Multimedia Messaging Service) est un système de messagerie qui vous permet d’envoyer et de recevoir des messages multimédia pouvant contenir simultanément du texte illimité, photos, images, mélodies, messages vocaux…."
What is the maximum size of an MMS?,La taille maximale d’un MMS est de 100 Ko.
What is MMBOX and how can it be accessed?,"Grâce à l’option MMBOX, vous pouvez stocker, consulter, importer, supprimer et envoyer vos MMS depuis le web. Visitez notre site : http://www.tunisietelecom.tn/tt/internet/fr/mobile/services/mmbox"
Who can use the MMS service?,A QUI EST DESTINÉ CE SERVICE ? Le MMS est destiné aux clients Tunisie Telecom mobiles prépayés et post payés.
How can a customer with a compatible mobile activate the MMS service?,"COMMENT EN BÉNÉFICIER ? Si votre mobile est compatible GPRS/MMS, pour bénéficier du service MMS, il suffit de composer *110#, le service est activé et les paramètres de configuration vous sont instantanément envoyés."
How can a user automatically configure their phone for MMS?,"COMMENT CONFIGURER VOTRE MOBILE ? Pour configurer automatiquement votre téléphone, il suffit d’envoyer « mms » au 1212. Vous recevez immédiatement les paramètres de configuration, vous n’avez qu’à les accepter et les enregistrer."
What are the manual configuration parameters for the MMS service if automatic configuration is not supported?,Si votre mobile ne supporte pas la configuration automatique vous devez le configurer manuellement. Les paramètres pour le service MMS sont : APN mms.tn Nom de l’utilisateur vide Mot de passe vide Adresse MMS-C http://172.31.111.99:1781 Proxy 172.31.111.99 Port 1781
Are there costs for activating and automatically configuring the MMS service?,L’activation et la configuration automatique du service MMS sont gratuites.
What is the price of an MMS to a Tunisie Telecom customer?,Le prix d’un MMS vers client Tunisie Telecom est de 90 millimes.
What is the price of an MMS to subscribers of other operators?,Le prix d’un MMS vers abonnés autres opérateurs est de 180 millimes.
"What is the price of an international MMS, and how many destinations does Tunisie Telecom cover?",Le prix d’un MMS vers l’international est de 600 millimes. Tunisie Telecom assure l’envoi des MMS vers plus de 600 destinations.
Is there a charge for receiving MMS?,La réception est gratuite.
Is there a cost to register for MMBox?,L’inscription sur l’MMBox est gratuite.
What help is available for the MMS service?,Besoin d'aide ?
"Is it possible to pay school registration fees using phone balance for primary, middle, and high schools?","Mobile Options & Services Le paiement des frais de l'inscription scolaire pour les écoles primaires, les collèges et les lycées est disponible à partir du solde téléphonique."
What is the first step in the school registration process?,1 ère étape : Vous devez tout d'abord remplir le formulaire d'inscription pour mettre à jour vos données sur https://inscription.education.tn
What is the second step to pay school registration fees using the *181# menu?,2 ème étape : Paiement des frais d'inscription via le menu *181# Composez *181# Choisissez le mode de paiement (Solde téléphonique) Saisissez l'identifiant élève composé de 12 chiffres Confirmez le paiment.
What are the school registration fees for primary schools?,"Les frais d'inscription pour les écoles primaires : 4,000 DT TTC"
What are the school registration fees for middle and high schools?,"L'inscription pour les collèges et les lycées : 8,600 DT TTC"
Which mobile customers can use the school registration payment service?,"Le service est destiné à tous les clients mobile prépayés, Hybrides, Marques sportives et Jawhara Mobile"
Is there help available for the school registration payment service?,Besoin d'aide ?
What is the procedure for a customer to cede their prepaid line?,"Mobile Options & Services Pour profiter de l’opération de cession, le client doit s’adresser à l’agence commerciale la plus proche muni d’une pièce d’identité (CIN, RC, cachet, carte de séjour…) et doit remplir et signer la demande de cession et la faire signer par le titulaire de la ligne."
What is required if the holder of the prepaid line to be ceded is deceased?,"Si le titulaire de la ligne est décédé, les héritiers du titulaire de la ligne doivent donner une procuration légalisée d’accord de cession."
What support is available for the prepaid line cession process?,Besoin d'aide ?
What are the international call tariffs to Zone 1 (U.M.A.) for both fixed and mobile numbers?,Zone Tarif en DT TTC vers Fixe Tarif en DT TTC vers Mobile​ Zone 1 : (U.M.A.) 1.450 ​1.450
"What are the international call tariffs to Zone 1B (USA, Australia, Canada, Brazil, Saudi Arabia, UAE) for fixed and mobile?","Zone 1 B : USA, Australie, Canada, Brésil, Saudi Arabia, United Arab Emirates 0.500 0.500"
"What are the tariffs for international calls to Zone 2 countries (e.g., France, Belgium, Germany) for fixed and mobile lines?","Zone 2 : France, Belgique, Allemagne*, Italie, Pays-Bas, Portugal, l'Espagne, la suisse 0.250 0.800​"
"What are the international call rates to Zone 3A countries (e.g., Denmark, Greece, Russia) for fixed and mobile?","Zone 3 A : Andorra, Belarus, Bulgaria, Cyprus, Czech Rep, Denmark,Estonia,Greece,Greenland,Hawaii,Iceland,Ireland,Liechtenstein,Mexico,Monaco , Norvège, Poland, Romania , Russia,, Slovakia, Suède 0,500 0.600​"
"Can you specify the international call tariffs for Zone 3B countries (e.g., Austria, Croatia, Ukraine) for fixed and mobile?","Zone 3 B : Alaska ; Albanie ; Antigue ; Autriche, Belize ; Bosnie ; British virgin Islands ; Croatie, Finlande ; Luxembourg ;, Macédoine ; Moldavie, Monténégro ; Antilles Néerlandaises, Serbie ; Slovenie ;,Ukraine 0.750 ​0.900"
"What are the call tariffs to Zone 4A countries (e.g., China, Egypt, India, Turkey) for fixed and mobile lines?","​Zone 4 A : Afghanistan, Angola, Anguilla, Argentina, Armenia, Bahrain, Bangladesh, Bhutan, Bolivia, Botswana, Brunei, Cambodia, Cameroon, Cape Verde, Chile, China, Colombia, Ecuador, Egypt, Eritrea, Eswatini, Ethiopia, Georgia, Guiana, India, Indonesia, Iran,Iraq, Jordan, Kazakhstan, Kenya, Korea South, Kuwait, Kyrgyzstan, Laos, Lebanon, Malaysia, Maldives, Mauritius, Mongolia, Namibia, Nepal, New Zealand, Nigeria, Oman, Pakistan, Palestine, Peru, Philippines, Qatar, Saint Kitts Nevis, Singapore, Sri Lanka, Thailand, Turkey, Uruguay, Uzbekistan, Venezuela, Vietnam, Yemen, Japon ​0.800 1.000​"
"What are the international call rates to Zone 4B countries (e.g., Ivory Coast, South Africa, UK) for fixed and mobile?","​Zone 4 B : Ascension, Azerbaijan, Benin, Burkina Faso, Burundi, Central African, Chad, Comoros, Congo, East Timor, Fidji isl, Gabon, Gambia, Ghana, Guinea Equatorial, Guyana, Côte d'Ivoire, Kosovo, Lesotho, Liberia, Madagascar, Malawi, Mali, Marshall isl, Mayotte, Mozambique, Niger, Papua, Rwanda, Sao Tome, Senegal, Seychelles, Sierra Leone, Somalia, South Africa, Surinam, Syria, Tajikistan, Tanzania, Togo, Tonga, Uganda, United Kingdom, Zambia, Zimbabwe ​1.200 2.000​"
What is the international call tariff for Zone 5 (Rest of the world and VAS destinations) for fixed and mobile?,​Zone 5 : Reste du monde et destinations VAS 3.000​ 3.000​
What are the call tariffs for Zone 6A (Satellite destinations) for fixed and mobile lines?,​Zone 6A : Destination satellitaire ​10.000 10.000​
What are the international call rates for Zone 6B (Inmarsat / Iridium) for fixed and mobile?,​Zone 6B : Inmersat / Iridium 17.000​ 17.000​
What is the billing increment for international calls on prepaid and postpaid offers?,La facturation pour toutes les offres prépayées et post payées est par palier de 60 secondes
Is there a special tariff for calls to fixed lines in Germany?,(*) Allemagne vers le Fixe à 3.000 DT
What is the cost of an international SMS to any destination?,SMS International vers toutes les destinations : 0.300 DT TTC
Is assistance provided regarding international call tariffs?,Besoin d'aide ?
What is the Roaming service offered by Tunisie Telecom?,"C’EST QUOI LE SERVICE ROAMING ? Grâce au service Roaming, voyagez serein et ayez l’assurance d’être joignable partout où vous irez, à tout moment et à prix accessible."
With how many operators and in how many countries has Tunisie Telecom established roaming agreements?,"TUNISIE TELECOM a établi des accords avec plusieurs opérateurs dans près de 180 pays, vous permettant ainsi de : Recevoir et envoyer des SMS Appeler et être appelé Naviguer librement sur internet"
"Who is eligible for the Roaming service from Tunisie Telecom, and is there a cost to access it?",À QUI EST DESTINÉ LE SERVICE ROAMING ? Ce service est accessible GRATUITEMENT à tous les clients mobiles Prépayés et Post-payés de TUNISIE TELECOM
How can prepaid customers activate Roaming for calls and SMS?,"Roaming Appels et SMS Si vous êtes client prépayé, il vous suffit de composer GRATUITEMENT *117*1#"
Is Roaming for calls and SMS pre-activated for postpaid customers?,"Si vous êtes client post-payé, le service Roaming est pré-activé sur votre ligne."
How can prepaid customers activate Roaming for mobile internet?,"Roaming Internet Mobile Si vous êtes client prépayé, pour activer le Roaming internet il vous suffit de Composer: *235# et bénéficier des Pass Roaming DATA ou *117*3# : Les frais de Consommation internet en Roaming seront déduit de votre solde/Forfait."
Is Roaming for mobile internet pre-activated for postpaid customers?,"Si vous êtes client post-payé, le service Roaming Internet est pré-activé sur votre ligne."
How can a user choose a foreign operator when roaming (automatic and manual modes)?,"COMMENT UTILISER LE ROAMING UNE FOIS ARRIVÉ AU PAYS DE DESTINATION ? Une fois à l’étranger, vous pouvez choisir l’opérateur du pays visité selon deux modes : Automatique : Sélectionnez dans le menu de votre mobile le mode recherche automatique. Manuel : Sélectionnez le réseau de votre choix parmi la liste des réseaux disponibles au niveau du menu de votre mobile."
What is the roaming tariff per minute for calls to Tunisia from Zone 1?,Appel vers la Tunisie 1.390
What is the roaming cost per 10KB of mobile internet in Zone 2?,Internet Mobile (10Ko) 0.025
What is the roaming tariff for receiving calls in Zone 3A?,Appel reçu 0.600
What is the cost of sending an SMS while roaming in Zone 4?,SMS envoyé 0.600
What is the roaming tariff for calls to the visited country when in Zone 5?,Appel vers le pays visité 3.200
What are the roaming rates for calls to the rest of the world from Zone 6 (excluding satellite/aero-maritime)?,Appel vers le reste du monde* 6.400
What are the general roaming call tariffs for Zone 7?,Appel vers la Tunisie 12.000 Appel vers le pays visité 12.000 Appel vers le reste du monde* 12.000 Appel reçu 12.000
What is the tariff for calls to satellite and aero-maritime networks while roaming?,* Hors appels vers les réseaux satellitaires et aéro-maritimes taxés à 12 DTTTC/ min
What assistance is available for the Roaming service?,Besoin d'aide ?
"What are the 'Passe-Partout' data passes offered by Tunisie Telecom, valid nationally and in roaming?",Mobile International & Roaming Tunisie Telecom Propose des nouveaux Pass Data « Passe-Partout » valable en National et en Roaming.
What are the details of the 1.25 Go 'Passe-Partout' data pass?,"1,25 Go Prix 5 DT Valable 3 Jours *235#"
Can you describe the 2.5 Go 'Passe-Partout' data pass?,"2,5 Go Prix 10 DT Valable 7 Jours *235#"
What does the 5 Go 'Passe-Partout' data pass offer?,5 Go Prix 22 DT 7 Jours *235#
What are the specifics of the 10 Go 'Passe-Partout' data pass?,10 Go Prix 45 DT 15 Jours *235#
How can users track their 'Passe-Partout' data pass consumption?,Le suivi du forfait se fait via le code *235*8#.
What support is available for 'Passe-Partout' data passes?,Besoin d'aide ?
"What are the new Pass Roaming DATA offered for travelers, starting from what price?",Mobile International & Roaming Connectez-vous en toute sérénité pendant vos voyages à partir de 3DT grâce aux nouveaux Pass Roaming DATA.
How can customers activate Pass Roaming DATA?,"Pour profiter de nos Pass Roaming DATA, il suffit de composer *235# et choisir le forfait qui répond à vos besoins."
What is the 'Pass France' roaming data offer for 1 Go?,Pass France 1 Go 4.5 DT valable 2 Jours
What is the 'Pass France' roaming data offer for 5 Go?,Pass France 5 Go 20 DT valable 7 Jours
What is the 'Pass France' roaming data offer for 10 Go?,Pass France 10 Go 40 DT valable 15 Jours
What is the 'Pass Grand Maghreb' roaming data offer for 100 Mo?,Pass Grand Maghreb 100 Mo 3 DT
What is the 'Pass Grand Maghreb' roaming data offer for 600 Mo?,Pass Grand Maghreb 600 Mo 12 DT
What is the 'Pass Grand Maghreb' roaming data offer for 1 Go?,Pass Grand Maghreb 1 Go 20 DT
What is the 'Pass World' roaming data offer for 100 Mo?,Pass World 100 Mo 3 DT
What is the 'Pass World' roaming data offer for 600 Mo?,Pass World 600 Mo 12 DT
What is the 'Pass World' roaming data offer for 1 Go?,Pass World 1 Go 20 DT
What is the 'Pass Discover' roaming data offer for 100 Mo?,Pass Discover 100 Mo 6 DT
What is the 'Pass Discover' roaming data offer for 600 Mo?,Pass Discover 600 Mo 25 DT
What is the 'Pass Discover' roaming data offer for 1 Go?,Pass Discover 1 Go 40 DT
What is the 'Pass Arabie Saoudite' roaming data offer for 250 Mo?,Pass Arabie Saoudite 250 Mo 4 DT
What is the 'Pass Arabie Saoudite' roaming data offer for 600 Mo?,Pass Arabie Saoudite 600 Mo 9 DT
What is the 'Pass Arabie Saoudite' roaming data offer for 2 Go?,Pass Arabie Saoudite 2 Go 24 DT
"What are the validity periods for the various Pass Roaming DATA forfaits (100MB, 250MB, 600MB, 1GB, 2GB)?",VALIDITÉ DES FORFAITS Forfait internet 100 Mo 250 Mo 600 Mo 1 Go 2 Go Validité 2 Jours 2 Jours 7 Jours 15 Jours 15 Jours
Which countries are covered by the 'Pass France' roaming data pass?,Pass Pass France Pays France
Which countries are included in the 'Pass Grand Maghreb' roaming data pass?,Pass Pass Grand Maghreb Pays Libye Algérie Maroc Mauritanie
Which countries does the 'Pass World' roaming data pass cover?,Pass Pass World Pays Turquie Italie Allemagne Grèce Hongrie Portugal Roumanie Espagne Luxembourg Pologne Croatie Albanie République Tchèque Royaume-Uni Canada Irlande Slovaquie Egypte Tanzanie Afrique du sud Malaisie Thaïlande Suisse UAE Qatar Belgique Malta Jordanie Indonesia Russie Côte d'Ivoire Kuwait USA Chine
Which country is covered by the 'Pass Arabie Saoudite' roaming data pass?,Pass Pass Arabie Saoudite Pays Arabie Saoudite
How can Pass Roaming DATA forfait usage be tracked?,Le suivi du forfait se fait via le code *235*8#
What is the 'Ehdia Pass Roaming Data' service?,"EHDIA PASS ROAMING DATA Avec le service Ehdia pass Roaming Data, vous pouvez non seulement acheter un Pass pour vos proches mais aussi demander un Pass en cas de besoin d’Internet en Roaming, et ce, GRATUITEMENT !"
How does one use 'Ehdia Pass Roaming Data' to offer or request a pass?,Ehdia pass Roaming Data vous permet d'activer un Pass internet pour une autre ligne mobile. Vous pouvez également demander un Pass internet auprès l'un de vos proches. Un SMS sera reçu par votre correspondant pour qu'il vous offre le pass Roaming Data.
"Are Pass Roaming Data offered via 'Ehdia' automatically renewable, and is the service free?","Les pass offerts ne sont pas renouvelables automatiquement Ce service est gratuit, vous ne payez que le montant du Pass acheté"
What USSD code is used for 'Ehdia Pass Roaming Data'?,Ehdia pass Roaming Data est disponible sur *235*6#
How can the recipient of an 'Ehdia Pass Roaming Data' track their consumption?,Le bénéficiaire du Pass peut suivre sa consommation sur *235*8#
What kind of support is available for Pass Roaming DATA and Ehdia Pass Roaming Data services?,Besoin d'aide ?
What is the SMART Roaming service and what is its main benefit?,C’EST QUOI LE SERVICE SMART ROAMING ? Le SMART Roaming est un nouveau service vous permettant de faire des économies pouvant atteindre 85 % sur le prix de vos communications en roaming vers la Tunisie
Who can use the SMART Roaming service and is it free?,À QUI EST DESTINÉ LE SERVICE SMART ROAMING ? Ce service est accessible GRATUITEMENT à tous les clients mobiles prépayés et post-payés de TUNISIE TELECOM pendant leurs séjours à l’étranger.
How does a customer use the SMART Roaming service while abroad?,"COMMENT UTILISER LE SERVICE SMART ROAMING ? Pendant votre séjour à l’étranger, il suffit de : Composer gratuitement *147*le numéro de votre correspondant # avec ou sans le préfixe de la Tunisie (216), votre appel sera par la suite interrompu, vous recevrez un appel avec le numéro de votre correspondant en Tunisie Décrochez le téléphone, et l'appel sera établi avec votre correspondant."
What is the SMART Roaming call tariff to Tunisia from Roaming Zone 1?,"Zone 1 Tarification avec SMART Roaming Appel vers la Tunisie 0,650"
Compare the standard roaming call tariff to Tunisia from Zone 2 versus the SMART Roaming tariff.,"Zone 2 Tarification en Roaming Appel vers la Tunisie 1,990 Tarification avec SMART Roaming Appel vers la Tunisie 0,700"
What is the SMART Roaming call tariff to Tunisia from Roaming Zone 3?,"Zone 3 Tarification avec SMART Roaming Appel vers la Tunisie 0,650"
How do SMART Roaming call tariffs to Tunisia from Roaming Zone 4 compare to standard roaming?,"Zone 4 Tarification en Roaming Appel vers la Tunisie 3,990 Tarification avec SMART Roaming Appel vers la Tunisie 0,850"
